iter	Passed	Remaining
0	126	126665
1	149	74560
2	175	58267
3	203	50619
4	227	45363
5	250	41466
6	274	38919
7	299	37079
8	321	35392
9	341	33815
10	359	32303
11	387	31941
12	412	31286
13	434	30584
14	451	29651
15	465	28650
16	482	27880
17	498	27208
18	514	26556
19	531	26020
20	549	25609
21	567	25226
22	583	24795
23	596	24276
24	610	23798
25	622	23307
26	634	22849
27	644	22380
28	657	21998
29	670	21667
30	685	21421
31	700	21198
32	714	20940
33	730	20745
34	745	20559
35	760	20358
36	774	20157
37	787	19925
38	803	19803
39	820	19703
40	839	19636
41	855	19521
42	871	19386
43	885	19238
44	900	19104
45	914	18973
46	928	18825
47	941	18667
48	953	18505
49	965	18344
50	976	18170
51	986	17977
52	995	17793
53	1005	17618
54	1015	17452
55	1025	17290
56	1035	17132
57	1045	16983
58	1055	16832
59	1065	16687
60	1075	16562
61	1086	16443
62	1097	16326
63	1108	16205
64	1117	16077
65	1127	15954
66	1138	15848
67	1147	15734
68	1158	15637
69	1168	15527
70	1178	15423
71	1188	15316
72	1196	15199
73	1206	15095
74	1215	14985
75	1224	14889
76	1233	14790
77	1244	14709
78	1252	14607
79	1262	14516
80	1273	14445
81	1283	14372
82	1295	14309
83	1306	14242
84	1316	14176
85	1328	14121
86	1339	14060
87	1350	13998
88	1362	13941
89	1372	13874
90	1388	13866
91	1404	13860
92	1420	13849
93	1433	13816
94	1446	13778
95	1459	13739
96	1470	13689
97	1482	13642
98	1495	13612
99	1508	13578
100	1521	13542
101	1532	13489
102	1544	13450
103	1556	13407
104	1567	13361
105	1578	13315
106	1591	13283
107	1603	13247
108	1615	13203
109	1626	13156
110	1636	13106
111	1646	13056
112	1657	13008
113	1668	12964
114	1680	12932
115	1693	12903
116	1705	12870
117	1716	12832
118	1727	12792
119	1740	12760
120	1751	12726
121	1762	12687
122	1772	12640
123	1784	12603
124	1793	12556
125	1804	12515
126	1813	12468
127	1824	12428
128	1836	12398
129	1848	12367
130	1860	12340
131	1873	12320
132	1885	12293
133	1897	12261
134	1909	12232
135	1921	12204
136	1934	12183
137	1948	12168
138	1960	12145
139	1973	12123
140	1987	12110
141	2000	12086
142	2014	12070
143	2024	12037
144	2035	12000
145	2046	11969
146	2055	11929
147	2065	11891
148	2075	11853
149	2088	11834
150	2101	11815
151	2113	11791
152	2124	11761
153	2135	11734
154	2146	11702
155	2156	11668
156	2167	11635
157	2177	11605
158	2187	11570
159	2198	11541
160	2209	11516
161	2220	11487
162	2232	11462
163	2243	11437
164	2257	11425
165	2269	11404
166	2281	11380
167	2291	11348
168	2301	11317
169	2312	11288
170	2321	11255
171	2331	11223
172	2341	11193
173	2352	11167
174	2362	11138
175	2373	11112
176	2384	11086
177	2394	11056
178	2403	11023
179	2412	10990
180	2422	10960
181	2431	10929
182	2442	10904
